publication_id;version;publication_dt (UTC);outage_begin_dt (UTC);outage_end_dt (UTC);unit_name;available capacity (MW);nominal capacity (MW);producer_name;map_code;production_source;creation_dt (UTC);outage_type;outage_cause;outage_status;source
-EDF-05470-EDF-T-00050530_001;1;2020-10-25 15:43:00+00:00;;;PALUEL 3;120.0;1330.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050607_002;2;2020-10-29 10:15:00+00:00;;;PALUEL 3;1020.0;1330.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Inactif;RTE
-EDF-05470-EDF-T-00050607_001;1;2020-10-29 08:40:00+00:00;;;PALUEL 3;1020.0;1330.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050457_002;2;2020-10-29 05:49:00+00:00;;;BLAYAIS 4;777.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050457_001;1;2020-10-21 09:39:00+00:00;;;BLAYAIS 4;805.0;910.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050548_005;5;2020-10-28 16:20:00+00:00;;;ST LAURENT 1;0.0;915.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Inactif;RTE
-EDF-05470-EDF-T-00050548_004;4;2020-10-28 09:06:00+00:00;;;ST LAURENT 1;0.0;915.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050548_003;3;2020-10-27 18:10:00+00:00;;;ST LAURENT 1;0.0;915.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050548_002;2;2020-10-26 18:00:00+00:00;;;ST LAURENT 1;0.0;915.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050548_001;1;2020-10-26 13:53:00+00:00;;;ST LAURENT 1;0.0;915.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050557_002;2;2020-10-27 05:20:00+00:00;;;CRUAS 2;700.0;915.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050557_001;1;2020-10-26 23:30:00+00:00;;;CRUAS 2;440.0;915.0;EDF;FR;nuclear;;planned;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050434_010;10;2020-10-26 21:45:00+00:00;;;DAMPIERRE 2;0.0;890.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050434_009;9;2020-10-26 20:00:00+00:00;;;DAMPIERRE 2;0.0;890.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050434_008;8;2020-10-24 10:28:00+00:00;;;DAMPIERRE 2;0.0;890.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050434_007;7;2020-10-24 06:43:00+00:00;;;DAMPIERRE 2;0.0;890.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050434_006;6;2020-10-22 08:53:00+00:00;;;DAMPIERRE 2;0.0;890.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050434_005;5;2020-10-22 03:08:00+00:00;;;DAMPIERRE 2;0.0;890.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050434_004;4;2020-10-21 07:24:00+00:00;;;DAMPIERRE 2;0.0;890.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050434_003;3;2020-10-20 08:49:00+00:00;;;DAMPIERRE 2;0.0;890.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
-EDF-05470-EDF-T-00050434_002;2;2020-10-19 16:46:00+00:00;;;DAMPIERRE 2;0.0;890.0;EDF;FR;nuclear;;fortuitous;Information Complémentaire;Actif;RTE
